ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM SUBCATEGORY,ITEM SPECIFIC CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
0143109014,"Perennial Seller: The Art of Making and Marketing Work that Lasts Hardcover – July 18, 2017",Ryan Holiday,4.6,978-0143109013,0143109014,$17.68,$26.00,Reference,"Writing, Research & Publishing Guides",In Stock.,https://www.amazon.com/dp/0143109014,16.0,ASIN number not found
0143117009,"Collapse: How Societies Choose to Fail or Succeed: Revised Edition Paperback – January 4, 2011",Jared Diamond,4.3,978-0143117001,0111111111,$13.35,$20.00,Science & Math,Earth Sciences,In Stock.,https://www.amazon.com/dp/0143117009,16.0,No errors
0143117998,"Churchill Paperback – October 26, 2010",Paul Johnson,4.3,978-0143117995,0111111111,$16.00,$16.00,Biographies & Memoirs,Historical,In Stock.,https://www.amazon.com/dp/0143117998,16.0,Original price not found
014312739X,"Eisenhower: A Life Paperback – August 18, 2015",Paul Johnson,3.6,978-0143127390,014312739X,$13.53,$17.00,Biographies & Memoirs,Leaders & Notable People,Only 2 left in stock - order soon.,https://www.amazon.com/dp/014312739X,16.0,ASIN number not found
0147509777,"Darwin: Portrait of a Genius Paperback – September 24, 2013",Paul Johnson,3.7,978-0147509772,0147509777,$17.00,$17.00,Biographies & Memoirs,Professionals & Academics,Only 11 left in stock (more on the way).,https://www.amazon.com/dp/0147509777,16.0,Original price not found
0190239034,China's Economy: What Everyone Needs to Know® 1st Edition,Arthur R. Kroeber,4.7,978-0190239039,0190239034,$16.95,$16.95,"New, Used & Rental Textbooks",Social Sciences,In Stock.,https://www.amazon.com/dp/0190239034,16.0,Sale price not found
019966109X,The Last Alchemist in Paris: And other curious tales from chemistry 1st Edition,Lars Ohrstrom,4.6,978-0199661091,019966109X,$22.47,$34.95,Science & Math,History & Philosophy,Only 2 left in stock (more on the way).,https://www.amazon.com/dp/019966109X,16.0,ISBN10 number error
0300188226,"The Theory That Would Not Die: How Bayes' Rule Cracked the Enigma Code, Hunted Down Russian Submarines, and Emerged Triumphant from Two Centuries of Controversy Paperback – September 25, 2012",Sharon Bertsch McGrayne,4.0,978-0300188226,0300188226,$11.28,$16.00,Science & Math,Mathematics,In Stock.,https://www.amazon.com/dp/0300188226,16.0,ISBN10 number error
0307407160,"The Secret History of the Mongol Queens: How the Daughters of Genghis Khan Rescued His Empire Paperback – March 1, 2011",Jack Weatherford,4.4,978-0307407160,0307407160,$12.00,$16.00,Biographies & Memoirs,Historical,In Stock.,https://www.amazon.com/dp/0307407160,16.0,ASIN number not found
0307700763,"The Decline and Fall of the Roman Empire, Volumes 1 to 6 (Everyman's Library) Reprint Edition",Edward Gibbon,4.1,978-0307700766,0307700763,$130.10,$140.00,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/0307700763,16.0,ASIN number not found
0312430000,"The Checklist Manifesto: How to Get Things Right Paperback – January 4, 2011",Atul Gawande,4.5,978-0312430009,0312430000,$14.38,$17.00,Medical Books,Medicine,In Stock.,https://www.amazon.com/dp/0312430000,16.0,ISBN10 number error
